sensor_id,macroarea_id,edge_cluster,edge_id,lat,lon,x_km,y_km,rows,rows_per_day,distance_to_edge_km
46714,none,5,edge-5,51.376,10.874,4381.854070841096,3140.9368504343547,7783,251.06451612903226,122.71383114658038
46722,none,9,edge-9,43.43000000000001,23.136,5381.249898842282,2351.082877987427,14458,466.38709677419354,112.33287446356107
46724,none,3,edge-3,48.29800000000001,11.62,4441.238431273912,2799.5959807045842,16344,527.2258064516129,150.11320709691785
46736,none,8,edge-8,47.03651033999999,17.99956226,4928.162895615668,2690.910140671906,13368,431.2258064516129,76.98383688487046
46756,none,1,edge-1,52.826,-1.192,3570.003145629975,3359.9120382841415,16305,525.9677419354839,106.2194128165431
46768,none,8,edge-8,48.978,18.066,4910.27888871286,2906.184710673542,16609,535.7741935483871,214.27468408611637
46778,none,3,edge-3,47.128,8.746000000000002,4225.781746879346,2669.077000542688,16472,531.3548387096774,205.19034953625084
46782,none,4,edge-4,46.298,11.506,4437.153982804829,2577.2700772538456,16606,535.6774193548387,188.98229725377323
46836,none,2,edge-2,51.29,6.926,4106.632063600341,3135.5149915943675,16041,517.4516129032259,85.99242075827281
46868,none,2,edge-2,50.94743583,4.24237364,3916.84431106369,3108.811907614102,5551,179.06451612903226,134.5868028834374
46876,none,5,edge-5,50.16,14.768,4661.465254258451,3016.376497973681,16421,529.7096774193549,296.33274715972584
46886,none,3,edge-3,48.202,11.326,4419.607284614891,2788.4922171928647,19826,639.5483870967741,135.94591247967696
46942,none,2,edge-2,52.63,4.896,3975.728335947246,3292.2232201427096,16294,525.6129032258065,127.04420714593867
46944,none,9,edge-9,43.852,25.952,5595.643616091938,2441.1697294784617,8064,260.1290322580645,207.41687157378476
46946,none,4,edge-4,40.81,14.498000000000001,4702.006732400641,1979.2811536478805,10151,327.4516129032258,579.2431392759285
46970,none,9,edge-9,43.83416932,25.95144671,5595.995335061464,2439.2175045542167,7905,255.0,206.10923836612793
46980,none,9,edge-9,43.84039254,25.94619984,5595.445347795799,2439.806012491436,6089,196.41935483870967,206.22543119179323
46986,none,9,edge-9,43.85172019,25.975822250000004,5597.520299997434,2441.54616494108,7689,248.03225806451613,208.87998593627506
47024,none,11,edge-11,55.62872684,37.47549891,6003.7369131606065,3941.19256948145,2466,79.54838709677419,79.67847012038965
47028,none,9,edge-9,42.7234812,23.24664351,5402.97452760857,2275.292296595028,5150,166.1290322580645,64.07843635315741
47054,none,2,edge-2,52.382,5.27,3999.183325416559,3262.965861146101,16220,523.2258064516129,90.77675440020398
47062,none,7,edge-7,53.11251754,17.9772185,4853.966592575967,3363.11635058396,232,7.483870967741935,190.75476368775426
47080,none,3,edge-3,49.296,14.47,4645.979198162855,2919.099855187852,16589,535.1290322580645,347.816748690087
47082,none,3,edge-3,49.296,14.47,4645.979198162855,2919.099855187852,16641,536.8064516129032,347.816748690087
47104,none,2,edge-2,52.164,5.4,4006.4774286426505,3238.1828417844567,15236,491.48387096774195,65.07131702678535
47154,none,0,edge-0,41.412,2.164,3664.49734150334,2068.5953547459644,16106,519.5483870967741,268.2214255407752
47220,none,2,edge-2,51.936,4.788,3962.893176961351,3215.6872456445794,15824,510.4516129032258,78.60789248736907
47234,none,4,edge-4,37.6215782,15.045789779999998,4769.492912229443,1630.8834274279086,6605,213.06451612903226,905.8431575038979
47240,none,5,edge-5,53.58599999999999,10.052,4324.444117107981,3386.4867516673003,8115,261.7741935483871,204.23780244380504
47260,none,2,edge-2,52.412,4.89,3973.611695493285,3268.0448374505477,1570,50.645161290322584,107.05873935264015
